Datetime,Tweet Id,Text,Username
2020-07-30 23:57:02+00:00,1288986997143601152,@SiBuduh @langoinstitute do you know the Ko word for ‘elephant’ and its derivation? one of the 1st instances I saw of this phenomenon in Ko,TylerPaulUtt1
2020-07-30 23:44:04+00:00,1288983731122966534,@RockstarGames Any idea if the elephant rifle is bugged? I shoot a 3 star animal and when I go collect its pelt it's a 1 star. Doesnt this defeat the purpose of this weapon if it's designed for hunting animal's. Hope this gets fixed or tuned in a hotfix.,EndlessSynthwav
2020-07-30 22:40:40+00:00,1288967774795116550,"@realDonaldTrump Trump just keeps ignoring the elephant in the room. Americans 1st concern is Covid-19 pandemic that has re surged in US &amp; killed 150k. Trump tried denying it, ignoring it &amp; bullying it but the virus just keeps doing its deadly thing. BYE DON",aanalyst50
2020-07-30 22:37:18+00:00,1288966929236066309,"@cslogan88 Famous 19th century song from England- (its about an elephant but, you know..)- ""Nelly the Elephant packed his Trunk and said goodbye to the circus, of he went with a Trumpety Trump, Trump, Trump, Trump....."".... check youtube, worth a re- ""lyricing"" shall we say :)",RozzBozzy
2020-07-30 22:15:36+00:00,1288961467555950592,"Based on “The Tower of the Elephant” and show a younger, brasher Conan. No origin story bullshit. No “they killed my family” bullshit. Just jump in, as Howard’s stories do. Do not fuck up the elephant or its cosmicism. Film 2 would be:",frryanwhitley
2020-07-30 22:11:55+00:00,1288960540337795072,"@Yaoicalvinnn @DarkLordKaii 69 did some not so good things to a 13 year old girl. 

If an elephant has its foot on the tail of a mouse, and you say that you are neutral, the mouse will not appreciate your neutrality.",marfffo
2020-07-30 22:01:04+00:00,1288957812576604160,"@SoulOnJourney11 So what its going to jump on a boat thousands of miles in 100 degree weather &amp; then jump off the boat &amp; jump on someone then infect that person, then that person is going to touch the door handle then little johnny touches it &amp; then picks his nose then dies from elephant virus",amorpete
2020-07-30 21:58:03+00:00,1288957051843092481,"""If you are neutral in situations of injustice, you have chosen the side of the oppressor. If an elephant has its foot on the tail of a mouse, and you say that you are neutral, the mouse will not appreciate your neutrality."" 
Desmond Tutu
@Wamagaisa
@nigelchanakira
@ali_naka",ChikatsaS
2020-07-30 20:32:17+00:00,1288935468046974976,"RT CumberlandADV ""The nagging question at this time, and still unaddressed, is what the Fed's exit strategy is and what it will do about the elephant in the room - its balance sheet. #markets #TheFed #FederalReserve

https://t.co/7twShrCuiu""",bigmoose2010
2020-07-30 20:31:42+00:00,1288935322424954883,"@katierogers @ESCochrane Isn’t it the case that the Trump organization wants to get out of its lease, so this is really more about hoping they won’t have a white elephant on their hands rather than the future of the hotel operation?",johndayapgar
2020-07-30 20:20:36+00:00,1288932529882517511,"The species is characterized by its shape, which resembles an elephant's ear. Besides that, the Poliopogon's body is always with the concave side facing the direction of the current as a way to optimize the capture of food.",biogeomar
2020-07-30 19:50:31+00:00,1288924955070136326,"The nagging question at this time, and still unaddressed, is what the Fed's exit strategy is and what it will do about the elephant in the room - its balance sheet. #markets #TheFed #FederalReserve

https://t.co/uR0CsA5ubr",CumberlandADV
2020-07-30 19:49:57+00:00,1288924813218603008,@ashleyaokii It's the elephant because its not a shade of beige.,Sitis_Rex
2020-07-30 19:06:50+00:00,1288913965205069824,"@Edinburgh_CC &amp; this administration is doing its very best to wreck businesses on Leith Walk, again
How many are going to survive your obsession with the white elephant @adamrmcvey",TommyM15571578
2020-07-30 19:02:24+00:00,1288912848681304066,"@WilDonnelly @realDonaldTrump What I ***wanted*** to say, but DIDNT was ""you just got off? Who's the lucky elephant? Barr, McConnell, Jordan, DeSantis??""  - but again, I didnt say that bc its immature. LOL",OHEMMEFFGE
